Filename,BRISQUE Score
diastole121.png,16.32
diastole1210.png,8.87
diastole1212.png,20.73
diastole1211.png,8.31
diastole1213.png,30.16
diastole1214.png,3.2
diastole1215.png,3.62
diastole1216.png,-4.7
diastole1217.png,15.92
diastole1218.png,-1.0
diastole122.png,14.8
diastole1219.png,-0.31
diastole1221.png,11.84
diastole1220.png,6.51
diastole1222.png,4.16
diastole1223.png,-8.73
diastole1225.png,2.17
diastole1224.png,18.57
diastole1226.png,25.67
diastole1227.png,2.54
diastole1228.png,-20.49
diastole123.png,-16.34
diastole1229.png,12.6
diastole1230.png,8.33
diastole1231.png,16.47
diastole1232.png,38.93
diastole1235.png,-16.49
diastole1234.png,-4.01
diastole1233.png,16.26
diastole1236.png,-0.79
diastole1237.png,4.53
diastole1238.png,-5.15
diastole1239.png,6.63
diastole124.png,9.16
diastole1240.png,12.72
diastole1241.png,-1.78
diastole1243.png,5.98
diastole1242.png,8.24
diastole1244.png,4.54
diastole1245.png,9.89
diastole1246.png,-24.09
diastole1247.png,13.88
diastole1248.png,1.96
diastole1249.png,-13.52
diastole125.png,-1.05
diastole1250.png,15.01
diastole1251.png,3.86
diastole1252.png,3.38
diastole1253.png,4.19
diastole1255.png,6.93
diastole1254.png,7.26
diastole1256.png,22.73
diastole1257.png,-0.86
diastole1258.png,-7.88
diastole126.png,21.09
diastole1259.png,17.12
diastole1260.png,-7.95
diastole1261.png,11.33
diastole1262.png,-3.99
diastole1263.png,7.38
diastole1264.png,22.39
diastole1265.png,0.1
diastole1266.png,4.77
diastole1268.png,13.17
diastole1267.png,-5.6
diastole1269.png,1.28
diastole1270.png,22.02
diastole127.png,-15.0
diastole1271.png,6.59
diastole1272.png,12.76
diastole1274.png,8.51
diastole1273.png,-9.72
diastole1275.png,5.38
diastole1276.png,15.46
diastole1278.png,16.26
diastole1277.png,6.23
diastole1279.png,1.01
diastole128.png,5.21
diastole1281.png,7.02
diastole1280.png,3.44
diastole1283.png,3.23
diastole1282.png,11.33
diastole1286.png,-21.42
